out2020-02-05_13-40-33_part00,N,Unnamed: 2,Unnamed: 3
out2020-02-05_13-40-33_part01,N,,
out2020-02-05_13-40-33_part02,N,,
out2020-02-05_13-40-33_part03,N,,
out2020-02-05_13-40-33_part04,N,,
out2020-02-05_13-40-33_part05,N,,
out2020-02-05_13-40-33_part06,N,,
out2020-02-05_13-40-33_part07,N,,
out2020-02-05_13-40-33_part08,N,,
out2020-02-05_13-40-33_part09,N,,
out2020-02-05_13-40-33_part10,N,,
out2020-02-05_13-40-33_part11,N,,
out2020-02-05_13-40-33_part12,N,,
out2020-02-05_13-40-33_part13,N,,
out2020-02-05_13-40-33_part14,N,,
out2020-02-05_13-40-33_part15,N,,
out2020-02-05_13-40-33_part16,N,,
out2020-02-05_13-40-33_part17,Y,28.0,30.0
out2020-02-05_13-40-33_part18,N,,
out2020-02-05_13-40-33_part19,N,,
out2020-02-05_13-40-33_part20,N,,
out2020-02-05_13-40-33_part21,N,,
out2020-02-05_13-40-33_part22,N,,
out2020-02-05_13-40-33_part23,N,,
out2020-02-05_13-40-33_part24,N,,
out2020-02-05_13-40-33_part25,N,,
out2020-02-05_13-40-33_part26,N,,
out2020-02-05_13-40-33_part27,N,,
out2020-02-05_13-40-33_part28,N,,
out2020-02-05_13-40-33_part29,N,,
out2020-02-05_13-40-33_part30,N,,
out2020-02-05_13-40-33_part31,N,,
out2020-02-05_13-40-33_part32,N,,
out2020-02-05_13-40-33_part33,N,,
out2020-02-05_13-40-33_part34,N,,
out2020-02-05_13-40-33_part35,N,,
out2020-02-05_13-40-33_part36,N,,
out2020-02-05_13-40-33_part37,N,,
out2020-02-05_13-40-33_part38,N,,
out2020-02-05_13-40-33_part39,N,,
,,,
,1,,
