out2020-02-03_14-45-36_part00,N,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
out2020-02-03_14-45-36_part01,Y,12.0,17.0,,
out2020-02-03_14-45-36_part02,N,,,,
out2020-02-03_14-45-36_part03,N,,,,
out2020-02-03_14-45-36_part04,N,,,,
out2020-02-03_14-45-36_part05,N,,,,
out2020-02-03_14-45-36_part06,N,,,,
out2020-02-03_14-45-36_part07,N,,,,
out2020-02-03_14-45-36_part08,N,,,,
out2020-02-03_14-45-36_part09,N,,,,
out2020-02-03_14-45-36_part10,N,,,,
out2020-02-03_14-45-36_part11,N,,,,
out2020-02-03_14-45-36_part12,N,,,,
out2020-02-03_14-45-36_part13,N,,,,
out2020-02-03_14-45-36_part14,N,,,,
out2020-02-03_14-45-36_part15,Y,25.0,27.0,,
out2020-02-03_14-45-36_part16,Y,14.0,19.0,,
out2020-02-03_14-45-36_part17,Y,22.0,30.0,,
out2020-02-03_14-45-36_part18,Y,1.0,3.0,6.0,10.0
out2020-02-03_14-45-36_part19,N,,,,
out2020-02-03_14-45-36_part20,Y,1.0,5.0,,
out2020-02-03_14-45-36_part21,N,,,,
out2020-02-03_14-45-36_part22,N,,,,
out2020-02-03_14-45-36_part23,N,,,,
out2020-02-03_14-45-36_part24,N,,,,
out2020-02-03_14-45-36_part25,N,,,,
out2020-02-03_14-45-36_part26,N,,,,
out2020-02-03_14-45-36_part27,N,,,,
out2020-02-03_14-45-36_part28,N,,,,
out2020-02-03_14-45-36_part29,N,,,,
out2020-02-03_14-45-36_part30,N,,,,
out2020-02-03_14-45-36_part31,Y,13.0,17.0,,
out2020-02-03_14-45-36_part32,N,,,,
out2020-02-03_14-45-36_part33,N,,,,
out2020-02-03_14-45-36_part34,Y,28.0,30.0,,
out2020-02-03_14-45-36_part35,Y,1.0,3.0,,
out2020-02-03_14-45-36_part36,N,,,,
out2020-02-03_14-45-36_part37,N,,,,
out2020-02-03_14-45-36_part38,N,,,,
out2020-02-03_14-45-36_part39,N,,,,
