out2020-02-05_15-40-50_part00,N,Unnamed: 2,Unnamed: 3
out2020-02-05_15-40-50_part01,N,,
out2020-02-05_15-40-50_part02,N,,
out2020-02-05_15-40-50_part03,N,,
out2020-02-05_15-40-50_part04,N,,
out2020-02-05_15-40-50_part05,N,,
out2020-02-05_15-40-50_part06,N,,
out2020-02-05_15-40-50_part07,N,,
out2020-02-05_15-40-50_part08,N,,
out2020-02-05_15-40-50_part09,N,,
out2020-02-05_15-40-50_part10,N,,
out2020-02-05_15-40-50_part11,N,,
out2020-02-05_15-40-50_part12,N,,
out2020-02-05_15-40-50_part13,Y,25.0,28.0
out2020-02-05_15-40-50_part14,N,,
out2020-02-05_15-40-50_part15,N,,
out2020-02-05_15-40-50_part16,N,,
out2020-02-05_15-40-50_part17,N,,
out2020-02-05_15-40-50_part18,Y,2.0,4.0
out2020-02-05_15-40-50_part19,N,,
out2020-02-05_15-40-50_part20,N,,
out2020-02-05_15-40-50_part21,Y,6.0,11.0
out2020-02-05_15-40-50_part22,N,,
out2020-02-05_15-40-50_part23,N,,
out2020-02-05_15-40-50_part24,N,,
out2020-02-05_15-40-50_part25,N,,
out2020-02-05_15-40-50_part26,N,,
out2020-02-05_15-40-50_part27,N,,
out2020-02-05_15-40-50_part28,N,,
out2020-02-05_15-40-50_part29,N,,
out2020-02-05_15-40-50_part30,N,,
out2020-02-05_15-40-50_part31,N,,
out2020-02-05_15-40-50_part32,N,,
out2020-02-05_15-40-50_part33,N,,
out2020-02-05_15-40-50_part34,N,,
out2020-02-05_15-40-50_part35,N,,
out2020-02-05_15-40-50_part36,N,,
out2020-02-05_15-40-50_part37,N,,
out2020-02-05_15-40-50_part38,N,,
out2020-02-05_15-40-50_part39,N,,
,,,
,3,,
