out2020-02-10_08-57-44_part00,N,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
out2020-02-10_08-57-44_part01,N,,,,,,
out2020-02-10_08-57-44_part02,N,,,,,,
out2020-02-10_08-57-44_part03,N,,,,,,
out2020-02-10_08-57-44_part04,Y,6.0,14.0,23.0,30.0,,
out2020-02-10_08-57-44_part05,Y,1.0,1.0,,,,
out2020-02-10_08-57-44_part06,Y,28.0,30.0,,,,
out2020-02-10_08-57-44_part07,Y,1.0,3.0,28.0,30.0,,
out2020-02-10_08-57-44_part08,Y,1.0,2.0,,,,
out2020-02-10_08-57-44_part09,Y,22.0,29.0,,,,
out2020-02-10_08-57-44_part10,N,,,,,,
out2020-02-10_08-57-44_part11,Y,13.0,19.0,,,,
out2020-02-10_08-57-44_part12,N,,,,,,
out2020-02-10_08-57-44_part13,N,,,,,,
out2020-02-10_08-57-44_part14,Y,3.0,9.0,,,,
out2020-02-10_08-57-44_part15,Y,5.0,16.0,,,,
out2020-02-10_08-57-44_part16,Y,1.0,7.0,,,,
out2020-02-10_08-57-44_part17,Y,7.0,19.0,,,,
out2020-02-10_08-57-44_part18,N,,,,,,
out2020-02-10_08-57-44_part19,Y,2.0,6.0,12.0,18.0,,
out2020-02-10_08-57-44_part20,N,,,,,,
out2020-02-10_08-57-44_part21,Y,1.0,16.0,,,,
out2020-02-10_08-57-44_part22,Y,1.0,15.0,,,,
out2020-02-10_08-57-44_part23,Y,11.0,17.0,28.0,30.0,,
out2020-02-10_08-57-44_part24,Y,1.0,4.0,,,,
out2020-02-10_08-57-44_part25,N,,,,,,
out2020-02-10_08-57-44_part26,N,,,,,,
out2020-02-10_08-57-44_part27,Y,8.0,17.0,26.0,30.0,,
out2020-02-10_08-57-44_part28,Y,1.0,1.0,5.0,22.0,,
out2020-02-10_08-57-44_part29,N,,,,,,
out2020-02-10_08-57-44_part30,Y,14.0,20.0,,,,
out2020-02-10_08-57-44_part31,Y,12.0,18.0,,,,
out2020-02-10_08-57-44_part32,Y,26.0,30.0,,,,
out2020-02-10_08-57-44_part33,Y,1.0,8.0,10.0,19.0,24.0,30.0
out2020-02-10_08-57-44_part34,Y,1.0,11.0,18.0,25.0,,
out2020-02-10_08-57-44_part35,Y,25.0,30.0,,,,
out2020-02-10_08-57-44_part36,Y,1.0,1.0,,,,
out2020-02-10_08-57-44_part37,N,,,,,,
out2020-02-10_08-57-44_part38,Y,13.0,30.0,,,,
out2020-02-10_08-57-44_part39,Y,1.0,13.0,27.0,30.0,,
