out2020-01-31_13-10-13_part00,N,Unnamed: 2,Unnamed: 3
out2020-01-31_13-10-13_part01,N,,
out2020-01-31_13-10-13_part02,N,,
out2020-01-31_13-10-13_part03,N,,
out2020-01-31_13-10-13_part04,N,,
out2020-01-31_13-10-13_part05,N,,
out2020-01-31_13-10-13_part06,N,,
out2020-01-31_13-10-13_part07,N,,
out2020-01-31_13-10-13_part08,N,,
out2020-01-31_13-10-13_part09,N,,
out2020-01-31_13-10-13_part10,N,,
out2020-01-31_13-10-13_part11,N,,
out2020-01-31_13-10-13_part12,N,,
out2020-01-31_13-10-13_part13,N,,
out2020-01-31_13-10-13_part14,N,,
out2020-01-31_13-10-13_part15,N,,
out2020-01-31_13-10-13_part16,N,,
out2020-01-31_13-10-13_part17,N,,
out2020-01-31_13-10-13_part18,N,,
out2020-01-31_13-10-13_part19,N,,
out2020-01-31_13-10-13_part20,N,,
out2020-01-31_13-10-13_part21,N,,
out2020-01-31_13-10-13_part22,N,,
out2020-01-31_13-10-13_part23,N,,
out2020-01-31_13-10-13_part24,N,,
out2020-01-31_13-10-13_part25,N,,
out2020-01-31_13-10-13_part26,N,,
out2020-01-31_13-10-13_part27,N,,
out2020-01-31_13-10-13_part28,N,,
out2020-01-31_13-10-13_part29,N,,
out2020-01-31_13-10-13_part30,N,,
out2020-01-31_13-10-13_part31,N,,
out2020-01-31_13-10-13_part32,N,,
out2020-01-31_13-10-13_part33,Y,5.0,9.0
out2020-01-31_13-10-13_part34,N,,
out2020-01-31_13-10-13_part35,N,,
out2020-01-31_13-10-13_part36,N,,
out2020-01-31_13-10-13_part37,N,,
out2020-01-31_13-10-13_part38,Y,28.0,30.0
out2020-01-31_13-10-13_part39,N,,
,,,
,2,,
