out2020-02-05_16-13-57_part00,Y,14,25,Unnamed: 4,Unnamed: 5
out2020-02-05_16-13-57_part01,N,,,,
out2020-02-05_16-13-57_part02,N,,,,
out2020-02-05_16-13-57_part03,Y,10.0,16.0,,
out2020-02-05_16-13-57_part04,N,,,,
out2020-02-05_16-13-57_part05,N,,,,
out2020-02-05_16-13-57_part06,N,,,,
out2020-02-05_16-13-57_part07,Y,6.0,10.0,,
out2020-02-05_16-13-57_part08,Y,16.0,21.0,,
out2020-02-05_16-13-57_part09,N,,,,
out2020-02-05_16-13-57_part10,Y,21.0,26.0,,
out2020-02-05_16-13-57_part11,N,,,,
out2020-02-05_16-13-57_part12,Y,14.0,20.0,,
out2020-02-05_16-13-57_part13,N,,,,
out2020-02-05_16-13-57_part14,Y,10.0,15.0,,
out2020-02-05_16-13-57_part15,N,,,,
out2020-02-05_16-13-57_part16,N,,,,
out2020-02-05_16-13-57_part17,N,,,,
out2020-02-05_16-13-57_part18,Y,28.0,30.0,,
out2020-02-05_16-13-57_part19,Y,1.0,3.0,,
out2020-02-05_16-13-57_part20,N,,,,
out2020-02-05_16-13-57_part21,N,,,,
out2020-02-05_16-13-57_part22,N,,,,
out2020-02-05_16-13-57_part23,N,,,,
out2020-02-05_16-13-57_part24,N,,,,
out2020-02-05_16-13-57_part25,N,,,,
out2020-02-05_16-13-57_part26,Y,14.0,18.0,20.0,23.0
out2020-02-05_16-13-57_part27,N,,,,
out2020-02-05_16-13-57_part28,Y,3.0,9.0,23.0,27.0
out2020-02-05_16-13-57_part29,Y,1.0,5.0,22.0,30.0
out2020-02-05_16-13-57_part30,Y,11.0,14.0,20.0,26.0
out2020-02-05_16-13-57_part31,N,,,,
out2020-02-05_16-13-57_part32,Y,16.0,18.0,,
out2020-02-05_16-13-57_part33,N,,,,
out2020-02-05_16-13-57_part34,N,,,,
out2020-02-05_16-13-57_part35,N,,,,
out2020-02-05_16-13-57_part36,N,,,,
out2020-02-05_16-13-57_part37,Y,24.0,30.0,,
out2020-02-05_16-13-57_part38,Y,1.0,2.0,26.0,29.0
out2020-02-05_16-13-57_part39,N,,,,
,,,,,
,16,,,,
