out2020-02-04_14-02-51_part00,N,,,,
out2020-02-04_14-02-51_part01,N,,,,
out2020-02-04_14-02-51_part02,N,,,,
out2020-02-04_14-02-51_part03,N,,,,
out2020-02-04_14-02-51_part04,N,,,,
out2020-02-04_14-02-51_part05,N,,,,
out2020-02-04_14-02-51_part06,N,,,,
out2020-02-04_14-02-51_part07,N,,,,
out2020-02-04_14-02-51_part08,N,,,,
out2020-02-04_14-02-51_part09,N,,,,
out2020-02-04_14-02-51_part10,N,,,,
out2020-02-04_14-02-51_part11,N,,,,
out2020-02-04_14-02-51_part12,N,,,,
out2020-02-04_14-02-51_part13,N,,,,
out2020-02-04_14-02-51_part14,N,,,,
out2020-02-04_14-02-51_part15,N,,,,
out2020-02-04_14-02-51_part16,N,,,,
out2020-02-04_14-02-51_part17,N,,,,
out2020-02-04_14-02-51_part18,N,,,,
out2020-02-04_14-02-51_part19,N,,,,
out2020-02-04_14-02-51_part20,N,,,,
out2020-02-04_14-02-51_part21,Y,1,4,,
out2020-02-04_14-02-51_part22,Y,27,30,,
out2020-02-04_14-02-51_part23,Y,1,2,,
out2020-02-04_14-02-51_part24,Y,26,30,,
out2020-02-04_14-02-51_part25,Y,1,1,,
out2020-02-04_14-02-51_part26,Y,2,7,24,26
out2020-02-04_14-02-51_part27,Y,9,15,,
out2020-02-04_14-02-51_part28,Y,21,26,,
out2020-02-04_14-02-51_part29,N,,,,
out2020-02-04_14-02-51_part30,Y,2,9,,
out2020-02-04_14-02-51_part31,Y,5,13,,
out2020-02-04_14-02-51_part32,Y,18,24,,
out2020-02-04_14-02-51_part33,Y,20,26,,
out2020-02-04_14-02-51_part34,N,,,,
out2020-02-04_14-02-51_part35,N,,,,
out2020-02-04_14-02-51_part36,N,,,,
out2020-02-04_14-02-51_part37,N,,,,
out2020-02-04_14-02-51_part38,Y,4,10,,
out2020-02-04_14-02-51_part39,N,,,,
