out2020-02-10_08-57-44_part00,N,,,,,,
out2020-02-10_08-57-44_part01,N,,,,,,
out2020-02-10_08-57-44_part02,N,,,,,,
out2020-02-10_08-57-44_part03,N,,,,,,
out2020-02-10_08-57-44_part04,Y,6,14,23,30,,
out2020-02-10_08-57-44_part05,Y,1,1,,,,
out2020-02-10_08-57-44_part06,Y,28,30,,,,
out2020-02-10_08-57-44_part07,Y,1,3,28,30,,
out2020-02-10_08-57-44_part08,Y,1,2,,,,
out2020-02-10_08-57-44_part09,Y,22,29,,,,
out2020-02-10_08-57-44_part10,N,,,,,,
out2020-02-10_08-57-44_part11,Y,13,19,,,,
out2020-02-10_08-57-44_part12,N,,,,,,
out2020-02-10_08-57-44_part13,N,,,,,,
out2020-02-10_08-57-44_part14,Y,3,9,,,,
out2020-02-10_08-57-44_part15,Y,5,16,,,,
out2020-02-10_08-57-44_part16,Y,1,7,,,,
out2020-02-10_08-57-44_part17,Y,7,19,,,,
out2020-02-10_08-57-44_part18,N,,,,,,
out2020-02-10_08-57-44_part19,Y,2,6,12,18,,
out2020-02-10_08-57-44_part20,N,,,,,,
out2020-02-10_08-57-44_part21,Y,1,16,,,,
out2020-02-10_08-57-44_part22,Y,1,15,,,,
out2020-02-10_08-57-44_part23,Y,11,17,28,30,,
out2020-02-10_08-57-44_part24,Y,1,4,,,,
out2020-02-10_08-57-44_part25,N,,,,,,
out2020-02-10_08-57-44_part26,N,,,,,,
out2020-02-10_08-57-44_part27,Y,8,17,26,30,,
out2020-02-10_08-57-44_part28,Y,1,1,5,22,,
out2020-02-10_08-57-44_part29,N,,,,,,
out2020-02-10_08-57-44_part30,Y,14,20,,,,
out2020-02-10_08-57-44_part31,Y,12,18,,,,
out2020-02-10_08-57-44_part32,Y,26,30,,,,
out2020-02-10_08-57-44_part33,Y,1,8,10,19,24,30
out2020-02-10_08-57-44_part34,Y,1,11,18,25,,
out2020-02-10_08-57-44_part35,Y,25,30,,,,
out2020-02-10_08-57-44_part36,Y,1,1,,,,
out2020-02-10_08-57-44_part37,N,,,,,,
out2020-02-10_08-57-44_part38,Y,13,30,,,,
out2020-02-10_08-57-44_part39,Y,1,13,27,30,,
