out2020-01-31_08-34-15_part00,N,,,,,,
out2020-01-31_08-34-15_part01,N,,,,,,
out2020-01-31_08-34-15_part02,N,,,,,,
out2020-01-31_08-34-15_part03,Y,12,19,,,,
out2020-01-31_08-34-15_part04,Y,20,21,,,,
out2020-01-31_08-34-15_part05,N,,,,,,
out2020-01-31_08-34-15_part06,Y,16,22,,,,
out2020-01-31_08-34-15_part07,N,,,,,,
out2020-01-31_08-34-15_part08,Y,8,12,,,,
out2020-01-31_08-34-15_part09,Y,29,30,,,,
out2020-01-31_08-34-15_part10,Y,1,5,,,,
out2020-01-31_08-34-15_part11,N,,,,,,
out2020-01-31_08-34-15_part12,N,,,,,,
out2020-01-31_08-34-15_part13,N,,,,,,
out2020-01-31_08-34-15_part14,N,,,,,,
out2020-01-31_08-34-15_part15,N,,,,,,
out2020-01-31_08-34-15_part16,Y,6,11,,,,
out2020-01-31_08-34-15_part17,N,,,,,,
out2020-01-31_08-34-15_part18,N,,,,,,
out2020-01-31_08-34-15_part19,N,,,,,,
out2020-01-31_08-34-15_part20,N,,,,,,
out2020-01-31_08-34-15_part21,N,,,,,,
out2020-01-31_08-34-15_part22,Y,1,5,22,25,,
out2020-01-31_08-34-15_part23,Y,6,8,10,16,24,30
out2020-01-31_08-34-15_part24,Y,24,27,,,,
out2020-01-31_08-34-15_part25,Y,16,23,,,,
out2020-01-31_08-34-15_part26,Y,2,10,20,28,,
out2020-01-31_08-34-15_part27,Y,7,20,,,,
out2020-01-31_08-34-15_part28,Y,13,17,23,26,28,30
out2020-01-31_08-34-15_part29,Y,1,3,11,17,24,29
out2020-01-31_08-34-15_part30,Y,1,2,7,11,25,30
out2020-01-31_08-34-15_part31,Y,1,4,23,29,,
out2020-01-31_08-34-15_part32,Y,12,25,,,,
out2020-01-31_08-34-15_part33,Y,17,19,,,,
out2020-01-31_08-34-15_part34,N,,,,,,
out2020-01-31_08-34-15_part35,N,,,,,,
out2020-01-31_08-34-15_part36,N,,,,,,
out2020-01-31_08-34-15_part37,Y,1,8,16,19,,
out2020-01-31_08-34-15_part38,Y,1,1,23,38,,
out2020-01-31_08-34-15_part39,N,,,,,,
