out2020-02-04_14-30-50_part00,N,,
out2020-02-04_14-30-50_part01,N,,
out2020-02-04_14-30-50_part02,N,,
out2020-02-04_14-30-50_part03,N,,
out2020-02-04_14-30-50_part04,N,,
out2020-02-04_14-30-50_part05,N,,
out2020-02-04_14-30-50_part06,N,,
out2020-02-04_14-30-50_part07,N,,
out2020-02-04_14-30-50_part08,N,,
out2020-02-04_14-30-50_part09,N,,
out2020-02-04_14-30-50_part10,N,,
out2020-02-04_14-30-50_part11,N,,
out2020-02-04_14-30-50_part12,N,,
out2020-02-04_14-30-50_part13,Y,18,23
out2020-02-04_14-30-50_part14,N,,
out2020-02-04_14-30-50_part15,Y,18,23
out2020-02-04_14-30-50_part16,Y,28,30
out2020-02-04_14-30-50_part17,Y,1,4
out2020-02-04_14-30-50_part18,Y,28,30
out2020-02-04_14-30-50_part19,Y,1,5
out2020-02-04_14-30-50_part20,Y,14,19
out2020-02-04_14-30-50_part21,Y,26,30
out2020-02-04_14-30-50_part22,Y,1,1
out2020-02-04_14-30-50_part23,Y,6,13
out2020-02-04_14-30-50_part24,Y,18,24
out2020-02-04_14-30-50_part25,N,,
out2020-02-04_14-30-50_part26,Y,8,13
out2020-02-04_14-30-50_part27,N,,
out2020-02-04_14-30-50_part28,Y,14,19
out2020-02-04_14-30-50_part29,N,,
out2020-02-04_14-30-50_part30,Y,9,13
out2020-02-04_14-30-50_part31,N,,
out2020-02-04_14-30-50_part32,N,,
out2020-02-04_14-30-50_part33,Y,19,22
out2020-02-04_14-30-50_part34,N,,
out2020-02-04_14-30-50_part35,N,,
out2020-02-04_14-30-50_part36,N,,
out2020-02-04_14-30-50_part37,N,,
out2020-02-04_14-30-50_part38,N,,
out2020-02-04_14-30-50_part39,N,,
