out2020-02-07_15-14-00_part00,N,,,,,,,,
out2020-02-07_15-14-00_part01,Y,17,22,26,30,,,,
out2020-02-07_15-14-00_part02,Y,1,3,,,,,,
out2020-02-07_15-14-00_part03,Y,24,30,,,,,,
out2020-02-07_15-14-00_part04,Y,1,1,,,,,,
out2020-02-07_15-14-00_part05,N,,,,,,,,
out2020-02-07_15-14-00_part06,N,,,,,,,,
out2020-02-07_15-14-00_part07,Y,13,17,,,,,,
out2020-02-07_15-14-00_part08,Y,12,16,25,30,,,,
out2020-02-07_15-14-00_part09,Y,1,2,2,5,9,14,17,23
out2020-02-07_15-14-00_part10,Y,1,3,4,17,,,,
out2020-02-07_15-14-00_part11,N,,,,,,,,
out2020-02-07_15-14-00_part12,Y,10,19,,,,,,
out2020-02-07_15-14-00_part13,Y,8,15,,,,,,
out2020-02-07_15-14-00_part14,Y,3,12,28,30,,,,
out2020-02-07_15-14-00_part15,Y,1,1,4,8,,,,
out2020-02-07_15-14-00_part16,Y,4,15,,,,,,
out2020-02-07_15-14-00_part17,Y,5,29,,,,,,
out2020-02-07_15-14-00_part18,Y,11,17,25,30,,,,
out2020-02-07_15-14-00_part19,Y,1,10,13,30,,,,
out2020-02-07_15-14-00_part20,Y,8,24,27,30,,,,
out2020-02-07_15-14-00_part21,Y,1,16,23,30,,,,
out2020-02-07_15-14-00_part22,Y,1,25,28,30,,,,
out2020-02-07_15-14-00_part23,Y,1,13,14,30,,,,
out2020-02-07_15-14-00_part24,Y,1,3,12,30,,,,
out2020-02-07_15-14-00_part25,Y,1,22,,,,,,
out2020-02-07_15-14-00_part26,Y,1,30,,,,,,
out2020-02-07_15-14-00_part27,Y,1,22,24,30,,,,
out2020-02-07_15-14-00_part28,Y,1,22,24,30,,,,
out2020-02-07_15-14-00_part29,Y,1,30,,,,,,
out2020-02-07_15-14-00_part30,Y,8,30,,,,,,
out2020-02-07_15-14-00_part31,Y,1,30,,,,,,
out2020-02-07_15-14-00_part32,Y,1,30,,,,,,
out2020-02-07_15-14-00_part33,Y,1,16,18,23,28,30,,
out2020-02-07_15-14-00_part34,Y,1,4,,,,,,
out2020-02-07_15-14-00_part35,Y,15,23,,,,,,
out2020-02-07_15-14-00_part36,N,,,,,,,,
out2020-02-07_15-14-00_part37,N,,,,,,,,
out2020-02-07_15-14-00_part38,N,,,,,,,,
out2020-02-07_15-14-00_part39,N,,,,,,,,
