out2020-02-05_16-13-57_part00,Y,14,25,,
out2020-02-05_16-13-57_part01,N,,,,
out2020-02-05_16-13-57_part02,N,,,,
out2020-02-05_16-13-57_part03,Y,10,16,,
out2020-02-05_16-13-57_part04,N,,,,
out2020-02-05_16-13-57_part05,N,,,,
out2020-02-05_16-13-57_part06,N,,,,
out2020-02-05_16-13-57_part07,Y,6,10,,
out2020-02-05_16-13-57_part08,Y,16,21,,
out2020-02-05_16-13-57_part09,N,,,,
out2020-02-05_16-13-57_part10,Y,21,26,,
out2020-02-05_16-13-57_part11,N,,,,
out2020-02-05_16-13-57_part12,Y,14,20,,
out2020-02-05_16-13-57_part13,N,,,,
out2020-02-05_16-13-57_part14,Y,10,15,,
out2020-02-05_16-13-57_part15,N,,,,
out2020-02-05_16-13-57_part16,N,,,,
out2020-02-05_16-13-57_part17,N,,,,
out2020-02-05_16-13-57_part18,Y,28,30,,
out2020-02-05_16-13-57_part19,Y,1,3,,
out2020-02-05_16-13-57_part20,N,,,,
out2020-02-05_16-13-57_part21,N,,,,
out2020-02-05_16-13-57_part22,N,,,,
out2020-02-05_16-13-57_part23,N,,,,
out2020-02-05_16-13-57_part24,N,,,,
out2020-02-05_16-13-57_part25,N,,,,
out2020-02-05_16-13-57_part26,Y,14,18,20,23
out2020-02-05_16-13-57_part27,N,,,,
out2020-02-05_16-13-57_part28,Y,3,9,23,27
out2020-02-05_16-13-57_part29,Y,1,5,22,30
out2020-02-05_16-13-57_part30,Y,11,14,20,26
out2020-02-05_16-13-57_part31,N,,,,
out2020-02-05_16-13-57_part32,Y,16,18,,
out2020-02-05_16-13-57_part33,N,,,,
out2020-02-05_16-13-57_part34,N,,,,
out2020-02-05_16-13-57_part35,N,,,,
out2020-02-05_16-13-57_part36,N,,,,
out2020-02-05_16-13-57_part37,Y,24,30,,
out2020-02-05_16-13-57_part38,Y,1,2,26,29
out2020-02-05_16-13-57_part39,N,,,,
