out2020-01-30_16-18-34_part00,N,,
out2020-01-30_16-18-34_part01,N,,
out2020-01-30_16-18-34_part02,N,,
out2020-01-30_16-18-34_part03,N,,
out2020-01-30_16-18-34_part04,Y,6,7
out2020-01-30_16-18-34_part05,N,,
out2020-01-30_16-18-34_part06,N,,
out2020-01-30_16-18-34_part07,N,,
out2020-01-30_16-18-34_part08,Y,5,8
out2020-01-30_16-18-34_part09,N,,
out2020-01-30_16-18-34_part10,N,,
out2020-01-30_16-18-34_part11,N,,
out2020-01-30_16-18-34_part12,Y,11,15
out2020-01-30_16-18-34_part13,Y,20,23
out2020-01-30_16-18-34_part14,Y,12,18
out2020-01-30_16-18-34_part15,N,,
out2020-01-30_16-18-34_part16,Y,11,15
out2020-01-30_16-18-34_part17,N,,
out2020-01-30_16-18-34_part18,N,,
out2020-01-30_16-18-34_part19,N,phone,
out2020-01-30_16-18-34_part20,N,phone,
out2020-01-30_16-18-34_part21,N,,
out2020-01-30_16-18-34_part22,N,,
out2020-01-30_16-18-34_part23,N,,
out2020-01-30_16-18-34_part24,Y,9,13
out2020-01-30_16-18-34_part25,N,,
out2020-01-30_16-18-34_part26,Y,5,9
out2020-01-30_16-18-34_part27,N,,
out2020-01-30_16-18-34_part28,N,,
out2020-01-30_16-18-34_part29,N,,
out2020-01-30_16-18-34_part30,Y,1,9
out2020-01-30_16-18-34_part31,N,,
out2020-01-30_16-18-34_part32,N,,
out2020-01-30_16-18-34_part33,Y,11,18
out2020-01-30_16-18-34_part34,N,,
out2020-01-30_16-18-34_part35,N,,
out2020-01-30_16-18-34_part36,N,,
out2020-01-30_16-18-34_part37,N,,
out2020-01-30_16-18-34_part38,N,,
out2020-01-30_16-18-34_part39,N,,
