out2020-02-05_16-36-55_part00,N,,
out2020-02-05_16-36-55_part01,N,,
out2020-02-05_16-36-55_part02,N,,
out2020-02-05_16-36-55_part03,N,,
out2020-02-05_16-36-55_part04,N,,
out2020-02-05_16-36-55_part05,N,,
out2020-02-05_16-36-55_part06,N,,
out2020-02-05_16-36-55_part07,N,,
out2020-02-05_16-36-55_part08,N,,
out2020-02-05_16-36-55_part09,Y,23,29
out2020-02-05_16-36-55_part10,N,,
out2020-02-05_16-36-55_part11,N,,
out2020-02-05_16-36-55_part12,N,,
out2020-02-05_16-36-55_part13,N,,
out2020-02-05_16-36-55_part14,N,,
out2020-02-05_16-36-55_part15,N,,
out2020-02-05_16-36-55_part16,N,,
out2020-02-05_16-36-55_part17,N,,
out2020-02-05_16-36-55_part18,Y,16,19
out2020-02-05_16-36-55_part19,N,,
out2020-02-05_16-36-55_part20,N,,
out2020-02-05_16-36-55_part21,Y,1,6
out2020-02-05_16-36-55_part22,N,,
out2020-02-05_16-36-55_part23,N,,
out2020-02-05_16-36-55_part24,Y,27,30
out2020-02-05_16-36-55_part25,Y,1,2
out2020-02-05_16-36-55_part26,N,,
out2020-02-05_16-36-55_part27,N,,
out2020-02-05_16-36-55_part28,N,,
out2020-02-05_16-36-55_part29,N,,
out2020-02-05_16-36-55_part30,N,,
out2020-02-05_16-36-55_part31,N,,
out2020-02-05_16-36-55_part32,N,,
out2020-02-05_16-36-55_part33,Y,25,30
out2020-02-05_16-36-55_part34,Y,1,1
out2020-02-05_16-36-55_part35,N,,
out2020-02-05_16-36-55_part36,Y,24,28
out2020-02-05_16-36-55_part37,N,,
out2020-02-05_16-36-55_part38,N,,
out2020-02-05_16-36-55_part39,Y,13,19
