out2020-02-07_14-52-17_part00,N,,,,,,
out2020-02-07_14-52-17_part01,N,,,,,,
out2020-02-07_14-52-17_part02,N,,,,,,
out2020-02-07_14-52-17_part03,N,,,,,,
out2020-02-07_14-52-17_part04,N,,,,,,
out2020-02-07_14-52-17_part05,N,,,,,,
out2020-02-07_14-52-17_part06,N,,,,,,
out2020-02-07_14-52-17_part07,N,,,,,,
out2020-02-07_14-52-17_part08,N,,,,,,
out2020-02-07_14-52-17_part09,N,,,,,,
out2020-02-07_14-52-17_part10,Y,12,18,,,,
out2020-02-07_14-52-17_part11,N,,,,,,
out2020-02-07_14-52-17_part12,N,,,,,,
out2020-02-07_14-52-17_part13,Y,28,30,,,,
out2020-02-07_14-52-17_part14,Y,1,6,9,12,26,30
out2020-02-07_14-52-17_part15,Y,1,7,,,,
out2020-02-07_14-52-17_part16,Y,6,12,,,,
out2020-02-07_14-52-17_part17,Y,11,16,,,,
out2020-02-07_14-52-17_part18,Y,3,6,14,20,,
out2020-02-07_14-52-17_part19,N,,,,,,
out2020-02-07_14-52-17_part20,Y,8,12,,,,
out2020-02-07_14-52-17_part21,Y,16,19,,,,
out2020-02-07_14-52-17_part22,N,,,,,,
out2020-02-07_14-52-17_part23,Y,5,23,,,,
out2020-02-07_14-52-17_part24,Y,12,20,,,,
out2020-02-07_14-52-17_part25,Y,2,7,19,23,27,30
out2020-02-07_14-52-17_part26,Y,1,1,20,25,,
out2020-02-07_14-52-17_part27,Y,15,23,,,,
out2020-02-07_14-52-17_part28,Y,13,30,,,,
out2020-02-07_14-52-17_part29,Y,5,10,14,18,20,30
out2020-02-07_14-52-17_part30,Y,1,1,20,30,,
out2020-02-07_14-52-17_part31,Y,1,13,,,,
out2020-02-07_14-52-17_part32,N,,,,,,
out2020-02-07_14-52-17_part33,Y,28,30,,,,
out2020-02-07_14-52-17_part34,Y,1,1,,,,
out2020-02-07_14-52-17_part35,N,,,,,,
out2020-02-07_14-52-17_part36,N,,,,,,
out2020-02-07_14-52-17_part37,Y,11,15,,,,
out2020-02-07_14-52-17_part38,N,,,,,,
out2020-02-07_14-52-17_part39,Y,7,10,,,,
