out2020-01-30_15-49-43_part00,N,,,,,,,,
out2020-01-30_15-49-43_part01,Y,3,6,,,,,,
out2020-01-30_15-49-43_part02,N,,,,,,,,
out2020-01-30_15-49-43_part03,Y,16,18,,,,,,
out2020-01-30_15-49-43_part04,N,,,,,,,,
out2020-01-30_15-49-43_part05,Y,22,25,,,,,,
out2020-01-30_15-49-43_part06,N,,,,,,,,
out2020-01-30_15-49-43_part07,N,,,,,,,,
out2020-01-30_15-49-43_part08,Y,1,2,7,8,,,,
out2020-01-30_15-49-43_part09,Y,6,8,,,,,,
out2020-01-30_15-49-43_part10,N,,,,,,,,
out2020-01-30_15-49-43_part11,N,,,,,,,,
out2020-01-30_15-49-43_part12,N,,,,,,,,
out2020-01-30_15-49-43_part13,N,,,,,,,,
out2020-01-30_15-49-43_part14,N,,,,,,,,
out2020-01-30_15-49-43_part15,Y,18,21,,,,,,
out2020-01-30_15-49-43_part16,N,,,,,,,,
out2020-01-30_15-49-43_part17,N,,,,,,,,
out2020-01-30_15-49-43_part18,N,,,,,,,,
out2020-01-30_15-49-43_part19,Y,8,14,,,,,,
out2020-01-30_15-49-43_part20,Y,16,26,28,30,,,,
out2020-01-30_15-49-43_part21,Y,1,2,,,,,,
out2020-01-30_15-49-43_part22,Y,2,5,20,26,,,,
out2020-01-30_15-49-43_part23,N,,,,,,,,
out2020-01-30_15-49-43_part24,N,,,,,,,,
out2020-01-30_15-49-43_part25,Y,25,27,,,,,,
out2020-01-30_15-49-43_part26,N,,,,,,,,
out2020-01-30_15-49-43_part27,N,,,,,,,,
out2020-01-30_15-49-43_part28,Y,23,27,,,,,,
out2020-01-30_15-49-43_part29,Y,1,3,,,,,,
out2020-01-30_15-49-43_part30,Y,9,22,,,,,,
out2020-01-30_15-49-43_part31,N,,,,,,,,
out2020-01-30_15-49-43_part32,N,,,,,,,,
out2020-01-30_15-49-43_part33,N,,,,,,,,
out2020-01-30_15-49-43_part34,Y,1,8,12,14,16,20,29,30
out2020-01-30_15-49-43_part35,Y,1,1,12,30,,,,
out2020-01-30_15-49-43_part36,N,,,,,,,,
out2020-01-30_15-49-43_part37,N,,,,,,,,
out2020-01-30_15-49-43_part38,N,,,,,,,,
out2020-01-30_15-49-43_part39,Y,4,5,,,,,,
